id,artist,song,difficulty,seizure_warning,description,max_bpm,min_bpm,last_updated,single_player,two_player,thumb,url,url2,icon,hue,tags,authors,has_classics,has_oneshots,has_squareshots,has_swing,has_freetimes,has_holds,source_id,source_iid,id:1,uploaded,approval,kudos
6ozYTYnFF2zQARprfe6HLu,t+pazolite,YURUSHITE (LeaF Remix),1,0,"Yurushite.
(Forgive me.)",140.0,140.0,1611784670,1,0,https://codex.rhythm.cafe/VUrW2ZCziBoVFhVauswzv4.png,https://cdn.discordapp.com/attachments/362784581344034816/804228879916204072/tpazolite_-_YURUSHITE_LeaF_Remix.rdzip,https://codex.rhythm.cafe/Ep4gpYpZzBaKj5uYiCX4C7.rdzip,,0.0,"[""t+pazolite"",""LeaF"",""Yurushite""]","[""JesterKuro""]",1,1,1,1,0,0,yeoldesheet,https://cdn.discordapp.com/attachments/362784581344034816/804228879916204072/tpazolite_-_YURUSHITE_LeaF_Remix.rdzip,6ozYTYnFF2zQARprfe6HLu,1636984107,10,0
6pjY5pEB4WGGKxqZNLvEMM,PLGRMS,Gemini,2,0,little gemini,129.0,129.0,1583516456,1,0,https://codex.rhythm.cafe/9ruoFFayfY9tiU875F6B3n.png,https://cdn.discordapp.com/attachments/611380148431749151/685663820655362059/PLGRMS_-_Gemini.rdzip,https://codex.rhythm.cafe/CcHBWZwvjBnnVAyvchUmhd.rdzip,https://codex.rhythm.cafe/3WGbQfe1axRYbNLQbwr7cV.png,0.55,"[""alternative"",""indie""]","[""Okamii""]",1,1,0,1,1,0,yeoldesheet,https://cdn.discordapp.com/attachments/611380148431749151/685663820655362059/PLGRMS_-_Gemini.rdzip,6pjY5pEB4WGGKxqZNLvEMM,1636984107,10,0
6sUhDTwJZy7Nh5meEiGp5B,Craig Barnes,The Mayor's Lament,3,1,"A return to where this journey began, to bring a cycle to its conclusion. Now with at least 50% less killer robots.",122.0,122.0,1603021456,1,0,https://codex.rhythm.cafe/3EcA8rAoAVAnSWwzyYoT7X.png,https://cdn.discordapp.com/attachments/611380148431749151/768434933462335488/Craig_Barnes_-_The_Mayors_Lament.rdzip,https://codex.rhythm.cafe/PoGoM1B7sfCkhBkWLaFsvQ.rdzip,https://codex.rhythm.cafe/9fV13HuC1jBkYgjfecTHJv.png,0.0,"[""RDRPG"",""Round 9""]","[""Lunaduskjr""]",1,1,0,1,1,0,yeoldesheet,https://cdn.discordapp.com/attachments/611380148431749151/768434933462335488/Craig_Barnes_-_The_Mayors_Lament.rdzip,6sUhDTwJZy7Nh5meEiGp5B,1636984107,10,0
6saUSfZLaJrcte1Kq5rh4S,M2U,Nodding Hawk,1,1,"A very simple level for round 0.
Move and groove~",128.0,128.0,1593643890,1,0,https://codex.rhythm.cafe/Ks5a31XygjAuQ71679rceL.png,https://cdn.discordapp.com/attachments/611380148431749151/777702816008896523/M2U_-_Nodding_Hawk.rdzip,https://codex.rhythm.cafe/T4tNsf6FURk5CMH9b8W1cU.rdzip,,0.0,"[""RDRPG"",""Instrumental""]","[""thefinals""]",1,1,0,1,0,0,yeoldesheet,https://cdn.discordapp.com/attachments/611380148431749151/777702816008896523/M2U_-_Nodding_Hawk.rdzip,6saUSfZLaJrcte1Kq5rh4S,1636984107,10,0
6t4xybhbMngR7M33SWq4t9,Toby Fox,Wrong Enemy !?,0,0,You're blocked in politely!,112.0,112.0,1593647812,1,0,https://codex.rhythm.cafe/2HqK6tzBPj4PRBvU2gqft3.png,https://cdn.discordapp.com/attachments/611380148431749151/729141708776013874/Wrong_Enemy_.rdzip,https://codex.rhythm.cafe/LfprGDDN2jUNEjAfDkAjyo.rdzip,https://codex.rhythm.cafe/DzYBCnPdWJyQuijJB4rhUc.png,0.71,"[""RDRPG"",""oh boy 3am""]","[""SpikedJackson"",""WillFlame"",""ThatOneGuy""]",1,1,0,1,0,0,yeoldesheet,https://cdn.discordapp.com/attachments/611380148431749151/729141708776013874/Wrong_Enemy_.rdzip,6t4xybhbMngR7M33SWq4t9,1636984107,10,0
6ueCSL2Fx9Xz6R1b4opDKz,Ras,EMOMOMO,2,1,"After months of leaving this on the sidelines, it's finally done! Thought about making emoji ccs but I think It looks better without them. (r19 only)",145.0,145.0,1616934538,1,0,https://codex.rhythm.cafe/8h17kMMCRQHN1JLb3k9TQV.png,https://cdn.discordapp.com/attachments/611380148431749151/825785236679557210/Ras_-_EMOMOMO.rdzip,https://codex.rhythm.cafe/CsFq2TnNnHTkh28wRyrkjk.rdzip,https://codex.rhythm.cafe/7mobuoQQy7N3uYS5hGwZT7.png,0.16,"[""Electronic"",""1p"",""classic"",""r19""]","[""Big Ounce""]",1,1,0,0,0,0,rdl,https://cdn.discordapp.com/attachments/611380148431749151/825785236679557210/Ras_-_EMOMOMO.rdzip,6ueCSL2Fx9Xz6R1b4opDKz,1636984107,10,0
6y1h92Q8Y8cvWBuFb9c3ZD,Andrew Allanson,Disco Battle,1,1,yiiky,109.0,109.0,1621982358,1,0,https://codex.rhythm.cafe/9ZRagfF1FUfGLuU43mkjum.png,https://cdn.discordapp.com/attachments/611380148431749151/846986813155573770/Andrew_Allanson_-_Disco_Battle.rdzip,https://codex.rhythm.cafe/3Yc9FPTvc2FSVxeKutFGqq.rdzip,,0.0,[],"[""Generic Seal""]",1,1,0,0,0,1,rdl,https://cdn.discordapp.com/attachments/611380148431749151/846986813155573770/Andrew_Allanson_-_Disco_Battle.rdzip,6y1h92Q8Y8cvWBuFb9c3ZD,1636984107,10,0
73JX8roUcJXhnbE8b1d3Nw,Quree,HTTPS,2,1,"[kRDRPG round 0]
[Cosmic Chrous 'After incident' route #1]",190.0,190.0,1624057862,1,0,https://codex.rhythm.cafe/MYfWGqe77QLe1nbUwPDK9f.png,https://cdn.discordapp.com/attachments/611380148431749151/855449707211128862/Quree_-_HTTPS.rdzip,https://codex.rhythm.cafe/CHFnxJPpRTJ5xprjwZfSAQ.rdzip,,0.74,"[""kRDRPG"",""Journey""]","[""무명악보"",""Purple0702""]",1,1,0,0,1,1,rdl,https://cdn.discordapp.com/attachments/611380148431749151/855449707211128862/Quree_-_HTTPS.rdzip,73JX8roUcJXhnbE8b1d3Nw,1636984107,10,0
73JzBU1ZZza5zazJ9oZUtu,BoxCat Games,Passing Time,0,0,Pass the time by curing some cool patients.,75.0,75.0,1595800788,1,1,https://codex.rhythm.cafe/VHf9pHYxwn2Sr2Xdyu1JXy.png,https://cdn.discordapp.com/attachments/611380148431749151/737056031112298536/BoxCat_Games_-_Passing_Time.rdzip,https://codex.rhythm.cafe/RbvMrCBmMwtb9ZriqP6sJx.rdzip,https://codex.rhythm.cafe/KKibejFD2Hk2nXFcThteJi.png,1.0,"[""slow"",""CC"",""Competition 9"",""2p""]","[""Saladplainzone""]",1,1,0,1,0,0,yeoldesheet,https://cdn.discordapp.com/attachments/611380148431749151/737056031112298536/BoxCat_Games_-_Passing_Time.rdzip,73JzBU1ZZza5zazJ9oZUtu,1636984107,10,0
74rCic2MfPehfLU4vi4pV2,Orange Wolke,Don't Eat Me,3,0,"Fruitful imagination.

-
Made for RDVS!",170.0,170.0,1597626198,1,0,https://codex.rhythm.cafe/Nzfpjtxovqi7GnKwrUp2aZ.png,https://cdn.discordapp.com/attachments/611380148431749151/744708601649823804/Orange_Wolke_-_Dont_Eat_Me.rdzip,https://codex.rhythm.cafe/XLEZyu7usbASSRkGQKDWQN.rdzip,https://codex.rhythm.cafe/VuWkEXPFAZtuST2xNH6aTx.png,0.92,"[""RDVS"",""strawberry"",""orange"",""melon"",""keen""]","[""Kin""]",1,1,0,1,1,0,yeoldesheet,https://cdn.discordapp.com/attachments/611380148431749151/744708601649823804/Orange_Wolke_-_Dont_Eat_Me.rdzip,74rCic2MfPehfLU4vi4pV2,1636984107,10,0
76ih3LSRVWWSK22ma96a8t,LÜNE,Rêve Lucide [revengeance shift],0,1,"Another dream, and a different affliction.
(Musical notes gimmick by FirecatFG; Rank messages by Afterglow Ampharos)",105.0,83.33,1603274832,1,0,https://codex.rhythm.cafe/4XyFXa5KTVkiHJm1g9fWxX.png,https://cdn.discordapp.com/attachments/611380148431749151/768475760418750524/LUNE_-_Reve_Lucide_revengeance_shift_rdshowcase_ver.rdzip,https://codex.rhythm.cafe/VjyZTHY5Yn2hzSx9JCmsZv.rdzip,https://codex.rhythm.cafe/FHbrrNio4BiAb1QuJ5pLXp.png,0.79,"[""RDRPG"",""Magic of Science"",""Vaporwave"",""Reve Lucide"",""LUNE""]","[""Dr. Jazz"",""InfectiousStepocity""]",1,1,0,1,1,0,yeoldesheet,https://cdn.discordapp.com/attachments/611380148431749151/768475760418750524/LUNE_-_Reve_Lucide_revengeance_shift_rdshowcase_ver.rdzip,76ih3LSRVWWSK22ma96a8t,1636984107,10,0
